8545:
1750448,4,2005-07-06
771345,4,2005-07-06
439011,3,2005-08-12
991627,4,2005-08-18
359927,3,2005-08-29
393953,5,2005-01-26
868186,2,2005-01-27
56069,2,2005-01-28
1205593,5,2005-01-30
1754009,3,2005-01-31
1329923,4,2005-02-01
2344265,2,2005-02-02
160876,5,2005-02-03
2549457,4,2005-02-06
1744889,4,2005-02-08
1789215,4,2005-02-09
1032095,4,2005-02-11
2042246,4,2005-02-13
220463,4,2005-02-15
1711639,5,2005-02-16
848443,4,2005-02-22
2452344,4,2005-02-24
1008399,4,2005-02-26
1453700,4,2005-02-28
2420848,5,2005-03-02
899232,3,2005-03-04
394693,4,2005-03-07
1945809,1,2005-03-07
1189686,5,2005-03-07
1829959,4,2005-03-10
2330282,4,2005-03-15
630851,4,2005-03-18
30878,4,2005-03-23
282391,1,2005-04-06
2306619,2,2005-04-01
1583311,3,2005-04-05
1174530,4,2005-04-06
1277134,4,2005-04-07
466862,3,2005-04-11
1203772,1,2005-04-15
946408,3,2005-04-16
1057860,3,2005-04-21
1644259,1,2005-04-25
699785,5,2005-04-26
1640419,3,2005-05-01
546578,4,2005-05-02
1990901,3,2005-05-03
2112389,3,2005-05-06
1124390,3,2005-05-08
2309436,4,2005-05-09
659794,4,2005-05-17
47501,3,2005-05-22
1392506,5,2005-05-25
1457332,4,2005-05-25
1629953,4,2005-05-25
2616301,4,2005-06-03
1524454,5,2005-06-03
2164355,3,2005-06-05
2581970,3,2005-06-20
314837,4,2005-06-21
2445646,3,2005-09-07
1850680,1,2005-09-18
1265764,4,2005-09-21
2130278,5,2005-09-23
2014531,4,2005-10-11
823358,3,2005-10-16
644003,4,2005-11-01
2156241,3,2005-11-05
390508,4,2005-11-11
66358,3,2005-12-09
1438855,4,2005-07-08
2067779,3,2005-07-16
1994966,4,2005-02-20
1483986,5,2005-08-08
2255194,5,2005-02-19
1086736,3,2005-08-12
2224475,4,2005-08-15
1437355,3,2005-08-16
1006665,4,2005-02-19
1205065,4,2005-08-23
116582,3,2005-08-29
2477414,5,2004-07-22
1174811,4,2005-01-31
543567,5,2005-02-01
1502634,4,2005-02-10
1048550,4,2005-02-10
1504994,4,2005-02-15
1739354,1,2005-02-16
2285616,5,2005-02-26
2325737,5,2005-03-01
1242757,3,2005-03-02
1661985,4,2005-03-06
1623132,5,2005-03-07
1041552,4,2005-03-08
989704,1,2005-03-10
1934980,3,2005-03-11
320454,5,2005-03-17
1561068,1,2005-03-17
1822014,5,2005-03-18
1961542,5,2005-03-25
1871338,2,2005-12-27
2286986,3,2005-04-12
1909013,5,2005-04-12
2200659,4,2005-04-18
1560318,5,2005-04-26
1514444,4,2005-05-07
1723162,2,2005-05-24
1270217,4,2005-05-30
1110906,3,2005-06-11
326587,3,2005-06-12
931626,1,2005-06-14
2027534,5,2005-09-08
175887,4,2005-10-05
2622033,1,2005-10-27
2621862,3,2005-11-07
295983,5,2005-11-14
1744308,2,2005-11-15
893988,3,2005-11-17
1694958,5,2005-11-20
2081171,1,2005-11-28
1675753,4,2005-11-28
235838,2,2005-12-01
1569850,3,2005-12-05
1324577,4,2005-12-12
132411,5,2005-07-13
1845090,3,2005-07-15
1633072,4,2005-07-16
1426359,3,2005-07-21
1698061,4,2005-07-22
1187125,1,2005-02-20
2122333,5,2005-08-17
2548396,3,2005-08-22
1158326,4,2005-08-30
429382,3,2005-02-02
955916,3,2005-02-05
803945,2,2005-02-11
2492819,3,2005-02-14
1249801,4,2005-02-17
428294,2,2005-02-21
1253685,5,2005-02-22
1842128,3,2005-02-23
1685449,3,2005-02-27
232549,3,2005-03-01
2301149,3,2005-03-07
1653075,4,2005-03-08
860519,4,2005-03-08
2600899,4,2005-03-16
1978307,4,2005-03-17
104046,5,2005-03-24
2484814,3,2005-03-29
2404557,3,2005-04-05
360819,4,2005-04-05
988026,3,2005-04-06
2371738,4,2005-04-06
136784,5,2005-04-06
2084484,5,2005-04-12
2022154,5,2005-04-14
1977632,4,2005-04-17
1353728,4,2005-04-29
844049,4,2005-05-03
1345754,4,2005-05-06
456861,5,2005-05-26
1969251,3,2005-06-07
2412308,3,2005-06-13
570085,2,2005-06-24
1268464,1,2005-09-19
2205987,4,2005-10-10
2537764,3,2005-11-18
2065290,3,2005-02-20
1981733,3,2005-07-26
1832354,3,2005-02-02
2314016,5,2005-02-10
411537,5,2005-02-10
1903518,5,2005-02-21
2581704,4,2005-03-08
433753,1,2005-03-09
617230,4,2005-03-15
790195,5,2005-03-16
2513594,4,2005-03-17
1971581,4,2005-03-20
304116,3,2005-03-20
24344,4,2005-03-22
1497241,5,2005-03-22
735902,5,2005-03-25
2124846,5,2005-03-28
1959707,3,2005-06-15
591390,2,2005-04-16
1905155,3,2005-04-18
1327944,4,2005-04-25
2554555,4,2005-04-27
1359064,5,2005-05-01
223961,2,2005-05-10
2369755,4,2005-05-10
610608,1,2005-05-12
237509,4,2005-05-17
